iter	RMSE
0	0.7650637351
1	0.7574138851
2	0.7510908647
3	0.745142867
4	0.7393244519
5	0.7338584039
6	0.7289236574
7	0.7245780593
8	0.7201216576
9	0.7162645413
10	0.7120004546
11	0.708358935
12	0.7053958478
13	0.7017706536
14	0.6986588485
15	0.6964287002
16	0.6935316174
17	0.6908425219
18	0.6880583617
19	0.6856128128
20	0.683194285
21	0.6806610823
22	0.6783626216
23	0.67600215
24	0.6740446809
25	0.6725657339
26	0.6705401631
27	0.6689031665
28	0.6669206075
29	0.6655943209
30	0.664135435
31	0.6623942283
32	0.6606941445
33	0.6589189245
34	0.6576276501
35	0.6559627265
36	0.6549937238
37	0.6538807541
38	0.652178
39	0.6508435681
40	0.6493889537
41	0.6480706195
42	0.6467009293
43	0.6454851028
44	0.6445495676
45	0.6436845649
46	0.6425536767
47	0.6417271945
48	0.6408352237
49	0.6400287361
50	0.639190782
51	0.6384065813
52	0.6375210116
53	0.6367596139
54	0.6358012421
55	0.6350534413
56	0.6339664013
57	0.6328100104
58	0.632046372
59	0.6309646311
60	0.6301305641
61	0.6293178453
62	0.6287529028
63	0.6281813252
64	0.6271144954
65	0.6264554914
66	0.6254016229
67	0.6245849745
68	0.623623961
69	0.6226916072
70	0.6221170286
71	0.6210969777
72	0.6200239376
73	0.6194299445
74	0.6187142803
75	0.6179836198
76	0.6174131797
77	0.6163782981
78	0.6157534729
79	0.6149750285
80	0.6143981329
81	0.6140182213
82	0.6134059631
83	0.612585332
84	0.6119794265
85	0.6115218101
86	0.6109987663
87	0.6103465111
88	0.6097302688
89	0.6093316126
90	0.608402958
91	0.6078894873
92	0.6072573248
93	0.6066244046
94	0.6058714243
95	0.6055715116
96	0.6051571662
97	0.6043638157
98	0.6038151072
99	0.6035240607
100	0.6030805334
101	0.6024320095
102	0.6019741143
103	0.6013490168
104	0.600604101
105	0.5999029452
106	0.5993903924
107	0.5987983724
108	0.598015758
109	0.5974110549
110	0.5968291553
111	0.5964838956
112	0.5959519514
113	0.5956187485
114	0.5950256664
115	0.5945805824
116	0.5939135493
117	0.5935545887
118	0.5931753221
119	0.5927737287
120	0.5921137197
121	0.5915500438
122	0.5909738452
123	0.5904328142
124	0.5896662606
125	0.5888423656
126	0.5884630922
127	0.5877441091
128	0.5873115484
129	0.5869028243
130	0.5863982283
131	0.5860333537
132	0.5855599875
133	0.5847074753
134	0.5843297436
135	0.5836958539
136	0.5832122236
137	0.5825997548
138	0.5822614193
139	0.5815261664
140	0.5811819449
141	0.5808993739
142	0.5804600047
143	0.5802085541
144	0.5797960937
145	0.5793357513
146	0.578874416
147	0.5784891757
148	0.5779214484
149	0.5776095424
150	0.5771610388
151	0.5766166792
152	0.5762122161
153	0.5756821661
154	0.575152042
155	0.574412922
156	0.573819811
157	0.5734062423
158	0.5731872801
159	0.5728364554
160	0.5722221944
161	0.571841124
162	0.5715170534
163	0.5708355983
164	0.5699903443
165	0.5694522569
166	0.5690499951
167	0.5682782569
168	0.5676416717
169	0.5669601334
170	0.5663963517
171	0.5661208037
172	0.5656877621
173	0.5651309763
174	0.5645710379
175	0.5640532622
176	0.563589221
177	0.5632769902
178	0.5626527193
179	0.5622682701
180	0.5617864353
181	0.5611411009
182	0.5605912428
183	0.560095918
184	0.5593637162
185	0.5588664612
186	0.5582963105
187	0.5577266805
188	0.5573184143
189	0.5569749541
190	0.5565811576
191	0.5560114875
192	0.5554730386
193	0.5547855727
194	0.5544820234
195	0.5539498897
196	0.5534565043
197	0.5530748216
198	0.5526939501
199	0.5520557301
200	0.5513200547
201	0.5508850187
202	0.5502136416
203	0.5498439719
204	0.5491344401
205	0.5486465619
206	0.5483029263
207	0.5477429972
208	0.5471220979
209	0.546461186
210	0.545863359
211	0.5457193
212	0.5453444659
213	0.5446897613
214	0.5442722691
215	0.543806069
216	0.5432912446
217	0.5427905865
218	0.5425425893
219	0.5420081558
220	0.5415371245
221	0.540907508
222	0.5403518301
223	0.5399384942
224	0.5395202417
225	0.5389813322
226	0.5386661934
227	0.5383531851
228	0.5377962543
229	0.5374794496
230	0.5370071901
231	0.5365094774
232	0.5361275791
233	0.5358356847
234	0.5352895567
235	0.5349086768
236	0.5343665062
237	0.5340086276
238	0.5335248034
239	0.5327912127
240	0.5325318841
241	0.5320047779
242	0.5315519652
243	0.5312255402
244	0.5308770663
245	0.5302701779
246	0.5298796284
247	0.5293097896
248	0.528807742
249	0.5285804194
250	0.5279156164
251	0.5274052052
252	0.5268249761
253	0.5264605134
254	0.5260775257
255	0.5258923695
256	0.5253912064
257	0.5248532185
258	0.5242244293
259	0.5238474799
260	0.5237697037
261	0.5230468812
262	0.5224089791
263	0.5218550631
264	0.521276412
265	0.520867277
266	0.520095504
267	0.5198029971
268	0.5191706494
269	0.5185275707
270	0.5181662243
271	0.5177669127
272	0.5173601395
273	0.5171095948
274	0.516863129
275	0.5166787923
276	0.5160111891
277	0.5155808636
278	0.515093478
279	0.5150411526
280	0.5144495721
281	0.5140779593
282	0.5134620071
283	0.5132097841
284	0.5128632999
285	0.5123943899
286	0.5119929915
287	0.5116124459
288	0.5111202033
289	0.5110783919
290	0.5107329815
291	0.5102193941
292	0.5096334911
293	0.5091096995
294	0.5084606841
295	0.5080300417
296	0.5074594821
297	0.5070405064
298	0.5065639656
299	0.5060805078
300	0.5055210204
301	0.5053797425
302	0.5047154299
303	0.5044374962
304	0.5040704658
305	0.5037561692
306	0.5033939892
307	0.5032317245
308	0.5027034086
309	0.5022782211
310	0.5021361512
311	0.5020856622
312	0.5015153276
313	0.5011084886
314	0.5004208491
315	0.4997014288
316	0.4994023652
317	0.498896503
318	0.4986165496
319	0.4981263296
320	0.4977613041
321	0.4974111713
322	0.4969195701
323	0.4964702039
324	0.4963425608
325	0.495953038
326	0.495596344
327	0.4950471001
328	0.495005354
329	0.4949579214
330	0.4948047643
331	0.4943336321
332	0.4936740294
333	0.4932234377
334	0.4927333605
335	0.4923232141
336	0.4921841656
337	0.4918173379
338	0.4913846927
339	0.490912117
340	0.4905194842
341	0.4899570789
342	0.4896749905
343	0.4892630784
344	0.4886823039
345	0.4882689904
346	0.4878217088
347	0.4874678021
348	0.4868851444
349	0.4864782335
350	0.4861401557
351	0.4858343124
352	0.4855624345
353	0.4852127701
354	0.4847884063
355	0.4843031146
356	0.483933019
357	0.4835618058
358	0.483005279
359	0.4824347376
360	0.4821559722
361	0.4818686012
362	0.4815702071
363	0.4811083665
364	0.4806323201
365	0.4801596059
366	0.4797940247
367	0.479411253
368	0.4792184373
369	0.4787461467
370	0.4783295706
371	0.4780024645
372	0.4777381478
373	0.4773657739
374	0.4765267115
375	0.4763012203
376	0.4759195998
377	0.4756553678
378	0.4753096029
379	0.4751168163
380	0.4746835084
381	0.4741821148
382	0.4738710547
383	0.4736013038
384	0.47353218
385	0.4729784863
386	0.4725066766
387	0.47246336
388	0.4716561119
389	0.471356306
390	0.4713226593
391	0.471284072
392	0.4706329052
393	0.4703155945
394	0.4695411149
395	0.4690840837
396	0.4688507343
397	0.4686744255
398	0.4682722352
399	0.4682495962
400	0.4678617361
401	0.4674588863
402	0.4670052877
403	0.4665225445
404	0.4662463487
405	0.4657029833
406	0.4655845041
407	0.4652157595
408	0.4651900112
409	0.4651720995
410	0.46490601
411	0.4648904729
412	0.4644482074
413	0.4640743991
414	0.4638112942
415	0.463728442
416	0.4633159008
417	0.4626497652
418	0.4623524774
419	0.4620913001
420	0.4620671418
421	0.4615288408
422	0.46116146
423	0.4611422592
424	0.4608446456
425	0.4603568264
426	0.4599292459
427	0.4596830193
428	0.4593945109
429	0.4590521755
430	0.4590127071
431	0.4586554764
432	0.4585288602
433	0.4583706885
434	0.4583495202
435	0.4582820047
436	0.4578670553
437	0.4576368425
438	0.4575171659
439	0.4566121491
440	0.4565635868
441	0.4562775189
442	0.4557567816
443	0.4551916923
444	0.4547424599
445	0.4543522785
446	0.4539558895
447	0.4539249285
448	0.453697493
449	0.4531998637
450	0.4529853483
451	0.4525414075
452	0.4521629673
453	0.4519667388
454	0.4517922956
455	0.4513376291
456	0.4509930878
457	0.450859146
458	0.4503496585
459	0.4502245042
460	0.4500655513
461	0.4498073218
462	0.4495464026
463	0.44904212
464	0.4487190868
465	0.4484918691
466	0.4482790974
467	0.447809444
468	0.4476222473
469	0.4469414741
470	0.4465837831
471	0.4463109046
472	0.4459968675
473	0.4455561363
474	0.4455297213
475	0.4453215469
476	0.4450677708
477	0.4447678598
478	0.444438072
479	0.4441820256
480	0.4436230137
481	0.4432150471
482	0.4425031092
483	0.4423247408
484	0.4421323148
485	0.4418025006
486	0.4413200695
487	0.4408578604
488	0.4404693522
489	0.4398691215
490	0.4395151187
491	0.4392233036
492	0.4389581191
493	0.4388098056
494	0.4384387412
495	0.4378215304
496	0.4373690202
497	0.4367477232
498	0.4365968102
499	0.4361070279
500	0.4357752034
501	0.4353613797
502	0.4351411894
503	0.4349262841
504	0.4344407362
505	0.434307998
506	0.4338135041
507	0.43361708
508	0.4332454701
509	0.4331052468
510	0.4329476084
511	0.4325673806
512	0.4321069082
513	0.4318376493
514	0.4316726848
515	0.4313210218
516	0.431142426
517	0.4308673371
518	0.430427708
519	0.4302643732
520	0.4299091337
521	0.4293732184
522	0.4287626816
523	0.4286583383
524	0.4283278714
525	0.428097113
526	0.4276797099
527	0.4274274818
528	0.4271782835
529	0.4267113523
530	0.4264791227
531	0.4263619903
532	0.4259882344
533	0.4257974616
534	0.4253616716
535	0.4250413513
536	0.4247162379
537	0.4243689419
538	0.4238474364
539	0.4238234009
540	0.4233587444
541	0.4231412011
542	0.4227776604
543	0.4225102069
544	0.4221189089
545	0.4215645817
546	0.4212459009
547	0.4208543751
548	0.4206600068
549	0.420519583
550	0.420353519
551	0.4200605296
552	0.4199881402
553	0.4196926546
554	0.4193069214
555	0.4190249086
556	0.4186457296
557	0.4186310152
558	0.4183846251
559	0.4180269288
560	0.4178409052
561	0.4173911706
562	0.4172349034
563	0.4168780587
564	0.4166757535
565	0.4165662288
566	0.4164182474
567	0.4163757771
568	0.4162611155
569	0.4161195792
570	0.4154984794
571	0.4150501396
572	0.4146730354
573	0.4143621154
574	0.4141117446
575	0.4138107209
576	0.4133613557
577	0.4130474047
578	0.412813444
579	0.4126421738
580	0.4122851954
581	0.4121105552
582	0.4120438918
583	0.4115834482
584	0.4113125354
585	0.411240495
586	0.4107572594
587	0.4106091044
588	0.4100941911
589	0.4096464339
590	0.409631543
591	0.4093113406
592	0.4090148167
593	0.408969592
594	0.4087658485
595	0.4087516213
596	0.4084398353
597	0.4079064934
598	0.4076508488
599	0.4073403599
600	0.4071292044
601	0.407106428
602	0.4068749388
603	0.4065249875
604	0.4063193038
605	0.4059729614
606	0.4052874587
607	0.4051478377
608	0.4050357569
609	0.4046793004
610	0.4042977257
611	0.4040596546
612	0.4038074523
613	0.4035550883
614	0.4032663779
615	0.402915478
616	0.4025483228
617	0.4023185151
618	0.402026523
619	0.4019102529
620	0.4016554399
621	0.4012140094
622	0.400957184
623	0.4006549084
624	0.4003602398
625	0.4001740744
626	0.3998920377
627	0.3997116023
628	0.3995184886
629	0.3994099049
